stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1029,1029,1029-Camí dels Reis  123,CM DELS REIS 123,39.592285,2.632389,,http://www.emtpalma.es/p/1029,0, ,,0
1033,1033,1033-Gremi de Ferrers  46,CL GREMI  DE FERRERS 46,39.603391,2.673238,,http://www.emtpalma.es/p/1033,0, ,,0
1034,1034,1034-Gran Via Asima  38,CL GRAN VIA ASIMA 38,39.610838,2.665352,,http://www.emtpalma.es/p/1034,0, ,,0
1038,1038,1038-Son Oliver  125,CM SON OLIVER 125,39.553446,2.775646,,http://www.emtpalma.es/p/1038,0, ,,0
1039,1039,1039-Son Oliver  128,CM SON OLIVER 128,39.553329,2.776007,,http://www.emtpalma.es/p/1039,0, ,,0
1040,1040,1040-Depuradora,LU DEPURADORA,39.546682,2.767893,,http://www.emtpalma.es/p/1040,0, ,,0
1041,1041,1041-Depuradora,LU DEPURADORA,39.546655,2.768230,,http://www.emtpalma.es/p/1041,0, ,,0
1043,1043,1043-Darwin,CL DARWIN,39.552335,2.702379,,http://www.emtpalma.es/p/1043,0, ,,0
1044,1044,1044-Darwin (edifici Endesa),CL DARWIN,39.549505,2.701960,,http://www.emtpalma.es/p/1044,0, ,,0
1045,1045,1045-Darwin (edifici Endesa),CL DARWIN,39.549577,2.702100,,http://www.emtpalma.es/p/1045,0, ,,0
1046,1046,1046-Darwin,CL DARWIN,39.552408,2.702495,,http://www.emtpalma.es/p/1046,0, ,,0
1048,1048,1048-Joan Carles I,PZ JOAN CARLES I,39.571174,2.647031,,http://www.emtpalma.es/p/1048,0, ,,0
1049,1049,1049-Poliesportiu,CM CAMÍ DE GÈNOVA A SANT AGUSTÍ 2,39.555521,2.596593,,http://www.emtpalma.es/p/1049,0, ,,0
1050,1050,1050-Poliesportiu,CM CAMÍ DE MITJA LLUNA 18,39.555478,2.597187,,http://www.emtpalma.es/p/1050,0, ,,0
1051,1051,1051-Av. Alemanya  7,AV ALEMANYA 7,39.577855,2.648394,,http://www.emtpalma.es/p/1051,0, ,,0
1058,1058,1058-Camí Salard  34,CL CAMÍ SALARD  34,39.585789,2.681088,,http://www.emtpalma.es/p/1058,0, ,,0
1059,1059,1059-Camí Salard  60,CL CAMÍ SALARD 60,39.583125,2.682370,,http://www.emtpalma.es/p/1059,0, ,,0
1060,1060,1060-Camí dels Reis (Son Berga),CM DELS REIS,39.567888,2.603180,,http://www.emtpalma.es/p/1060,0, ,,0
1061,1061,1061-Camí dels Reis (Son Berga),CM DELS REIS,39.567952,2.603343,,http://www.emtpalma.es/p/1061,0, ,,0
1062,1062,1062-Andreu Ferret  1,CL ANDREU FERRET 1,39.555028,2.597236,,http://www.emtpalma.es/p/1062,0, ,,0
1063,1063,1063-Noruega  13,CL NORUEGA  13,39.553417,2.595092,,http://www.emtpalma.es/p/1063,0, ,,0
1064,1064,1064-Noruega  1,CL NORUEGA 1,39.552573,2.593456,,http://www.emtpalma.es/p/1064,0, ,,0
1065,1065,1065-Camí de Son Toells  17,CL CAMÍ SON TOELLS 17,39.551646,2.596522,,http://www.emtpalma.es/p/1065,0, ,,0
